Label,Content
ham,go until jurong point crazy PUNCT available only in bugis n great world la e buffet PUNCT cine there got amore wat PUNCT 
ham,ok lar PUNCT joking wif u oni PUNCT 
spam,free entry in 2 a wkly comp to win FA cup final tkts 21st may 2005 text FA to 87121 to receive entry question std txt rate T C s apply 08452810075over18 s
ham,U dun say so early hor PUNCT U c already then say PUNCT 
ham,nah I don t think he goes to usf he lives around here though
spam,freemsg hey there darling it s been 3 week s now and no word back I d like some fun you up for it still tb ok xxx std chgs to send å 150 to rcv
ham,even my brother is not like to speak with me they treat me like aids patent
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
spam,WINNER PUNCT as a valued network customer you have been selected to receivea å 900 prize reward to claim call 09061701461 claim code KL341 valid 12 hours only
spam,had your mobile 11 months or more U R entitled to update to the latest colour mobiles with camera for free call the mobile update co FREE on 08002986030
ham,I m gonna be home soon and i don t want to talk about this stuff anymore tonight k I ve cried enough today
spam,SIX chances to win CASH from 100 to 20 000 pounds txt CSH11 and send to 87575 cost 150p day 6days 16 tsandcs apply reply HL 4 info
spam,URGENT you have won a 1 week FREE membership in our å 100 000 prize jackpot txt the word CLAIM to no 81010 T C wwwdbuknet LCCLTD POBOX 4403LDNW1A7RW18
ham,I ve been searching for the right words to thank you for this breather I promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
ham,I HAVE A DATE ON SUNDAY WITH WILL PUNCT 
spam,xxxmobilemovieclub to use your credit click the WAP link in the next txt message or click here http wap xxxmobilemovieclubcomn QJKGIGHJJGCBL
ham,oh k PUNCT i m watching here 
ham,eh u remember how 2 spell his name PUNCT yes i did he v naughty make until i v wet
ham,fine if thatåÕs the way u feel ThatåÕs the way its gota b
spam,england v macedonia dont miss the goals team news txt ur national team to 87077 eg ENGLAND to 87077 try WALES SCOTLAND 4txt Ì¼120 POBOXox36504W45WQ 16 
ham,is that seriously how you spell his name
ham,I Û m going to try for 2 months ha ha only joking
ham,so Ì pay first lar PUNCT then when is da stock comin PUNCT 
ham,aft i finish my lunch then i go str down lor ard 3 smth lor U finish ur lunch already
ham,ffffffffff alright no way I can meet up with you sooner
ham,just forced myself to eat a slice I m really not hungry tho this sucks mark is getting worried he knows I m sick when I turn down pizza lol
ham,lol your always so convincing
ham,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love 
ham,I m back amp we re packing the car now I ll let you know if there s room
ham,ahhh work I vaguely remember that what does it feel like lol
ham,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us
ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we won t go there not doing too badly cheers you
ham,K tell me anything about you
ham,for fear of fainting with the of all that housework you just did quick have a cuppa
spam,thanks for your subscription to ringtone UK your mobile will be charged å 5 month please confirm by replying YES or NO if you reply NO you will not be charged
ham,yup PUNCT ok i go home look at the timings then i msg Ì again PUNCT xuhui going to learn on 2nd may too but her lesson is at 8am
ham,oops I ll let you know when my roommate s done
ham,I see the letter B on my car
ham,anything lor PUNCT U decide PUNCT 
ham,hello how s you and how did saturday go I was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything
ham,pls go ahead with watts I just wanted to be sure do have a great weekend abiola
ham,did I forget to tell you I want you I need you I crave you PUNCT but most of all PUNCT I love you my sweet arabian steed PUNCT mmmmmm PUNCT yummy
spam,07732584351 rodger burns MSG we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow
ham,WHO ARE YOU SEEING
ham,great I hope you like your man well endowed I am lt gt inches PUNCT 
ham,no calls PUNCT messages PUNCT missed calls
ham,didn t you get hep b immunisation in nigeria
ham,fair enough anything going on
ham,yeah hopefully if tyler can t do it I could maybe ask around a bit
ham,U don t know how stubborn I am I didn t even want to go to the hospital I kept telling mark I m not a weak sucker hospitals are for weak suckers
ham,what you thinked about me first time you saw me in class
ham,A gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt 
ham,K fyi x has a ride early tomorrow morning but he s crashing at our place tonight
ham,wow I never realized that you were so embarassed by your accomodations I thought you liked it since i was doing the best i could and you always seemed so happy about the cave I m sorry I didn t and don t have more to give I m sorry i offered I m sorry your room was so embarassing 
spam,SMS ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply END SPTV
ham,do you know what mallika sherawat did yesterday find out now lt URL gt 
spam,congrats 1 year special cinema pass for 2 is yours call 09061209465 now C suprman V Matrix3 StarWars3 etc all 4 FREE bx420 ip4 5we 150pm dont miss out
ham,sorry I ll call later in meeting
ham,tell where you reached
ham,yes PUNCT gauti and sehwag out of odi series
ham,your gonna have to pick up a 1 burger for yourself on your way home I can t even move pain is killing me
ham,ha ha ha good joke girls are situation seekers
ham,its a part of checking IQ
ham,sorry my roommates took forever it ok if I come by now
ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
spam,as a valued customer I am pleased to advise you that following recent review of your mob no you are awarded with a å 1500 bonus prize call 09066364589
ham,today is song dedicated day PUNCT which song will u dedicate for me send this to all ur valuable frnds but first rply me PUNCT 
spam,urgent UR awarded a complimentary trip to eurodisinc trav aco Entry41 or å 1000 to claim txt DIS to 87121 18 6 å 150 moreFrmMob shracomorsglsuplt 10 LS1 3AJ
spam,did you hear about the new divorce barbie it comes with all of ken s stuff 
ham,I plane to give on this month end
ham,wah lucky man PUNCT then can save money PUNCT hee PUNCT 
ham,finished class where are you
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING XX
ham,K PUNCT k where are youhow did you performed
ham,U can call me now PUNCT 
ham,I am waiting machan call me once you free
ham,thats cool i am a gentleman and will treat you with dignity and respect
ham,I like you peoples very much but am very shy pa
ham,does not operate after lt gt or what
ham,its not the same here still looking for a job how much do ta s earn there
ham,sorry I ll call later
ham,K did you call me just now ah
ham,ok i am on the way to home hi hi
ham,you will be in the place of that man
ham,yup next stop
ham,I call you later don t have network if urgnt sms me
ham,for real when u getting on yo I only need 2 more tickets and one more jacket and I m done I already used all my multis
ham,yes I started to send requests to make it but pain came back so I m back in bed double coins at the factory too I gotta cash in all my nitros
ham,I m really not up to it still tonight babe
ham,ela kano il download come wen ur free PUNCT 
ham,yeah do don Û t stand to close tho you Û ll catch something
ham,sorry to be a pain is it ok if we meet another night I spent late afternoon in casualty and that means i haven t done any of y stuff42moro and that includes all my time sheets and that sorry
ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts U smile becoz SOMEONE still loves to see u smiling PUNCT 
spam,please call our customer service representative on 0800 169 6031 between 10am 9pm as you have WON a guaranteed å 1000 cash or å 5000 prize
ham,havent planning to buy later I check already lido only got 530 show in e afternoon U finish work already
spam,your free ringtone is waiting to be collected simply text the password MIX to 85069 to verify get usher and britney FML
ham,watching telugu movie PUNCT wat abt u
ham,i see when we finish we have loads of loans to pay
ham,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham 
ham,please don t text me anymore I have nothing else to say
ham,okay name ur price as long as its legal wen can I pick them up Y u ave x ams xx
ham,I m still looking for a car to buy and have not gone 4the driving test yet
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
ham,wow you re right I didn t mean to do that I guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston
ham,umma my life and vava umma love you lot dear
ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
ham,aight I ll hit you up when I get some cash
ham,how would my ip address test that considering my computer isn t a minecraft server
ham,I know grumpy old people my mom was like you better not be lying then again I am always the one to play jokes PUNCT 
ham,dont worry I guess he s busy
ham,what is the plural of the noun research
ham,going for dinnermsg you after
ham,I m ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud
spam,GENT we are trying to contact you last weekends draw shows that you won a å 1000 prize GUARANTEED call 09064012160 claim code K52 valid 12hrs only 150ppm
ham,wa ur openin sentence very formal PUNCT anyway i m fine too juz tt i m eatin too much n puttin on weight PUNCT haha PUNCT so anythin special happened
ham,as I entered my cabin my PA said happy B day boss PUNCT I felt special she askd me 4 lunch after lunch she invited me to her apartment we went there
spam,you are a winner U have been specially selected 2 receive å 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910p min 18 
ham,goodo yes we must speak friday egg potato ratio for tortilla needed
ham,hmm PUNCT my uncle just informed me that he s paying the school directly so pls buy food
